Ion,A,Q_low,m_ion_in_u,Z,LEIR_gamma_inj,LEIR_gamma_extr,PS_gamma_inj,PS_gamma_extr,SPS_gamma_inj,SPS_gamma_extr,LEIR_Ekin_per_u_inj,LEIR_Ekin_per_u_extr,PS_Ekin_per_u_inj,PS_Ekin_per_u_extr,SPS_Ekin_per_u_inj,SPS_Ekin_per_u_extr,p_LEIR_extr_proton_equiv,p_PS_inj_proton_equiv,p_PS_extr_proton_equiv,p_SPS_inj_proton_equiv,p_SPS_extr_proton_equiv,LEIR_Brho,PS_Brho_inj,PS_Brho_extr,SPS_Brho_inj,SPS_Brho_extr,PS_B_field_is_too_low
29Kr86,86.0,29.0,85.9106106269,36.0,1.004513778450717,1.2368804540325997,1.2368804540325997,9.469644758355463,9.469644758355463,202.43863384576755,0.004200000000000001,0.22041354439513983,0.22041354439513983,7.880871507870089,7.881223785277633,187.443865431654,2.0086094686000004,2.0086094686000004,25.984123725460293,20.932590874786193,450.0,6.7,6.7,86.67370719999998,69.8236073530115,1501.0384283916842,False
17Ca40,40.0,17.0,39.962590863,20.0,1.0045132918812005,1.3570209416965806,1.3570209416965806,11.909064388106248,11.909064388106248,241.77560454816933,0.004200000000000001,0.3322381965526188,0.3322381965526188,10.15180751346814,10.152225602501728,224.0713016248033,2.0086094686000004,2.0086094686000004,25.984123725460297,22.08741477072783,450.0,6.7,6.700000000000002,86.67370719999998,73.67568523264127,1501.0384283916842,False
12Ca48,48.0,12.0,47.95252276,20.0,1.00451376252688,1.13632707498175,1.13632707498175,7.052575341012745,7.052575341012745,201.4912951298215,0.004200000000000001,0.12685065098431603,0.12685065098431603,5.631846221609801,5.632361698217142,186.57173647444532,2.0086094686000004,2.0086094685999987,25.984123725460293,15.591901214005606,450.0,6.7,6.699999999999996,86.67370719999998,52.00898420868749,1501.0384283916842,False
17Ca48,48.0,17.0,47.95252276,20.0,1.0045135043293674,1.2587430514622562,1.2587430514622562,9.940065976315113,9.940065976315113,201.4912951298215,0.004200000000000001,0.24077097014634116,0.24077097014634116,8.319096285388293,8.31938180815872,186.57173647444532,2.0086094686000004,2.0086094686,25.984123725460297,22.087263205727215,450.0,6.7,6.699999999999999,86.67370719999998,73.67517966621834,1501.0384283916842,False
10Ar40,40.0,10.0,39.9623831237,18.0,1.0045136251585463,1.1363192750767652,1.1363192750767652,7.052365023683817,7.052365023683817,217.59961181149825,0.004200000000000001,0.1268472536400896,0.12684725364008942,5.631821918428625,5.63244046886305,201.57152027895322,2.0086094686,2.008609468599999,25.98412372546029,14.437209775591132,450.0,6.7,6.699999999999997,86.67370719999998,48.157348159809715,1501.0384283916842,False
11Ar40,40.0,11.0,39.9623831237,18.0,1.004513563192221,1.1629137257363902,1.1629137257363902,7.743950043204392,7.743950043204392,217.59961181149825,0.004200000000000001,0.15159589418668254,0.15159589418668254,6.2754389326541675,6.276042009147582,201.57152027895322,2.0086094686000004,2.0086094686000004,25.98412372546029,15.880712728195366,450.0,6.7,6.700000000000001,86.67370719999998,52.97235572282264,1501.0384283916842,False
12Ar40,40.0,12.0,39.9623831237,18.0,1.004513501227597,1.1913588562002044,1.1913588562002044,8.436573575418567,8.436573575418567,217.59961181149825,0.004200000000000001,0.17806734849803946,0.17806734849803946,6.9200399959537116,6.920610008147007,201.57152027895322,2.0086094686000004,2.0086094686000004,25.984123725460293,17.32417604642926,450.0,6.7,6.7,86.67370719999998,57.78723107980674,1501.0384283916842,False
13Ar40,40.0,13.0,39.9623831237,18.0,1.0045134392646746,1.2215251891020966,1.2215251891020966,9.12999487649544,9.12999487649544,217.59961181149825,0.004200000000000001,0.2061412017905821,0.2061412017905821,7.565401122937958,7.565920425293633,201.57152027895322,2.0086094686000004,2.0086094686000004,25.98412372546029,18.767599731925152,450.0,6.7,6.700000000000001,86.67370719999998,62.601974236206935,1501.0384283916842,False
14Ar40,40.0,14.0,39.9623831237,18.0,1.0045133773034531,1.2532882526045541,1.2532882526045541,9.824040934592015,9.824040934592015,217.59961181149825,0.004200000000000001,0.23570169064420932,0.23570169064420932,8.211361345068761,8.211812252633992,201.57152027895322,2.0086094686,2.0086094686000004,25.984123725460293,20.21098378631529,450.0,6.7,6.700000000000001,86.67370719999998,67.4165851974678,1501.0384283916842,False
15Ar40,40.0,15.0,39.9623831237,18.0,1.0045133153439332,1.2865296010278469,1.2865296010278469,10.518584266807391,10.518584266807391,217.59961181149825,0.004200000000000001,0.26663865309890616,0.26663865309890616,8.857802053279999,8.858166852272436,201.57152027895322,2.0086094686,2.0086094686,25.98412372546029,21.654328211231846,450.0,6.7,6.699999999999999,86.67370719999998,72.23106396903368,1501.0384283916842,False
