Projectile,Z_p,A_p,LEIR_Kinj,PS_Kinj,SPS_Kinj,LEIR_beta,PS_beta,SPS_beta,LEIR_gamma,PS_gamma,SPS_gamma,LEIR_q,PS_q,SPS_q,I_p,n_0
Kr22,36.0,86.0,4.2,70.17407316390175,5781.980085264294,0.09469529156531306,0.3678903418039563,0.9903448454810756,1.004513980227037,1.0754200901696434,7.213669178326635,22,22,36.0,0.999,3.0
Kr23,36.0,86.0,4.2,76.44960665095307,6081.31172285222,0.09469499123915175,0.3822132468862607,0.9911551979779175,1.004513951400744,1.082164240244856,7.535349250404071,23,23,36.0,1.042,3.0
Kr24,36.0,86.0,4.2,82.96250662213367,6380.869211395797,0.09469469091584774,0.39626571806542105,0.9918680282731984,1.004513922574819,1.0891634122631493,7.857272035721844,24,24,36.0,1.155,2.0
Kr25,36.0,86.0,4.2,89.70822279760583,6680.625424581471,0.09469439059540398,0.4100449595515651,0.9924983249041861,1.0045138937492624,1.0964127109865591,8.179408382685514,25,25,36.0,1.20523,2.0
Kr26,36.0,86.0,4.2,96.68216414210227,6980.55733101845,0.09469409027781582,0.42354888275281805,0.9930583131848157,1.0045138649240737,1.1039071975010903,8.501733540354925,26,26,36.0,2.9289,2.0
Kr27,36.0,86.0,4.2,103.87971042596472,7280.6452521029205,0.09469378996308622,0.43677607352334763,0.9935580428027566,1.0045138360992534,1.111641901643025,8.824226360899717,27,27,36.0,3.072,2.0
Kr28,36.0,86.0,4.2,111.29622322175314,7580.872275149586,0.09469348965121169,0.44972575755424526,0.9940058350742773,1.004513807274801,1.1196118338181509,9.14686866891461,28,28,36.0,3.228,2.0
Kr29,36.0,86.0,4.2,118.92705630930934,7881.2237852776325,0.0946931893421975,0.4623977643735063,0.9944086267890793,1.004513778450717,1.1278119961847994,9.469644758355463,29,29,36.0,3.38,2.0
Kr30,36.0,86.0,4.2,126.76756546972976,8181.687089005415,0.09469288903603729,0.47479249039242044,0.9947722370222508,1.004513749627001,1.1362373931797152,9.79254098803111,30,30,36.0,3.584,2.0
Kr31,36.0,86.0,4.2,134.81311765574574,8482.25110930777,0.09469258873273573,0.48691086140311346,0.9951015759750054,1.004513720803653,1.1448830413733466,10.115545453893311,31,31,36.0,3.7520000000000002,2.0
Kr32,36.0,86.0,4.2,143.05909953248917,8782.906136829599,0.09469228843229109,0.4987542948969461,0.9954008097716377,1.0045136919806732,1.1537439786481243,10.438647721675672,32,32,36.0,3.971,2.0
Kr33,36.0,86.0,4.2,151.50092538851007,9083.643625576568,0.094691988134704,0.5103246625368992,0.9956734914941885,1.0045136631580616,1.1628152726996044,10.76183860733037,33,33,36.0,4.109083,1.0
Kr34,36.0,86.0,4.2,160.13404442216296,9384.45602409374,0.09469168783997214,0.521624253079881,0.9959226661185502,1.0045136343358179,1.1720920288660142,11.08510999560241,34,34,36.0,17.296424,1.0
In32,49.0,115.0,4.2,82.486717411529,6359.887638955455,0.0946853219575276,0.3952303761418682,0.9918180403013125,1.004513023361458,1.0886344006400508,7.833331415614735,32,32,49.0,2.0285,3.0
In33,49.0,115.0,4.2,87.49676808680977,6584.026063582222,0.09468509743644711,0.4055739278235929,0.9923007055986556,1.0045130018135076,1.0940173983456731,8.07415518883159,33,33,49.0,2.111,3.0
In34,49.0,115.0,4.2,92.63526813035172,6808.2666336194425,0.09468487291696706,0.4157638958721961,0.9927420303940976,1.004512980265763,1.0995383659490336,8.31508871138394,34,34,49.0,2.207,3.0
In35,49.0,115.0,4.2,97.900290737694,7032.600536475113,0.09468464839908282,0.4257995641022092,0.9931465891138233,1.0045129587182242,1.1051952310955608,8.556122514651396,35,35,49.0,2.317,3.0
In36,49.0,115.0,4.2,103.28990146159455,7257.019921977092,0.09468442388279377,0.43568042264191964,0.9935183425166999,1.004512937170891,1.110985913258025,8.797248164078042,36,36,49.0,2.373,3.0
